Category,Question,Answer
معلومات عن العيادة / التخصص ( الدكاتره و الاسعار) -  Information about Clinic / Specialty (doctors and prices),What are the consultation fees for the Cardiology & Vascular Clinic? ماهي اسعار عيادة القلب والأوعية الدموية؟,"د. عادل حسان (Dr. Adel Hassan)
700 جنيه مصري / 700 EGP
د. مروة جمال (Dr. Marwa Gamal)
650 جنيه مصري / 650 EGP
د. خالد نور (Dr. Khaled Nour)
650 جنيه مصري / 650 EGP"
معلومات عن العيادة / التخصص ( الدكاتره و الاسعار) -  Information about Clinic / Specialty (doctors and prices),What are the consultation fees for the Gastroenterology & Endoscopy Clinic? ماهي اسعار عيادة الجهاز الهضمي والمناظير؟,"د. شريف منصور (Dr. Sherif Mansour)
700 جنيه مصري / 700 EGP
د. ريهام صبري (Dr. Reham Sabry)
650 جنيه مصري / 650 EGP
د. وائل فريد (Dr. Wael Farid)
650 جنيه مصري / 650 EGP"
معلومات عن العيادة / التخصص ( الدكاتره و الاسعار) -  Information about Clinic / Specialty (doctors and prices),What are the consultation fees for the Orthopedics & Joints Clinic? ماهي اسعار عيادة العظام والمفاصل؟,"د. أيمن السعدني (Dr. Ayman El-Saadany)
700 جنيه مصري / 700 EGP
د. ليلى أمين (Dr. Leila Amin)
650 جنيه مصري / 650 EGP
د. طارق البدري (Dr. Tarek El-Badry)
650 جنيه مصري / 650 EGP"
معلومات عن العيادة / التخصص ( الدكاتره و الاسعار) -  Information about Clinic / Specialty (doctors and prices),What are the consultation fees for the Obstetrics & Gynecology Clinic? ماهي اسعار عيادة النساء والتوليد؟,"د. نسرين علام (Dr. Nesrine Allam)
700 جنيه مصري / 700 EGP
د. ياسمين الشاذلي (Dr. Yasmin El-Shazly)
650 جنيه مصري / 650 EGP
د. مجدي رزق (Dr. Magdy Rizk
650 جنيه مصري / 650 EGP"
معلومات عن العيادة / التخصص ( الدكاتره و الاسعار) -  Information about Clinic / Specialty (doctors and prices),What are the consultation fees for the Pediatrics & Neonatology Clinic? ماهي اسعار عيادة الأطفال وحديثي الولادة؟,"د. منى رفعت (Dr. Mona Refaat)
600 جنيه مصري / 600 EGP
د. كريم مختار (Dr. Karim Mokhtar)
550 جنيه مصري / 550 EGP
د. سارة عيسى (Dr. Sara Eissa)
550 جنيه مصري / 550 EGP"
معلومات عن العيادة / التخصص ( الدكاتره و الاسعار) -  Information about Clinic / Specialty (doctors and prices),What are the consultation fees for the Urology Clinic? ماهي اسعار عيادة المسالك البولية؟,"د. أحمد سامي (Dr. Ahmed Samy)
650 جنيه مصري / 650 EGP
د. هبة عبد الرحمن (Dr. Heba Abdelrahman)
600 جنيه مصري / 600 EGP
د. محمد فؤاد (Dr. Mohamed Fouad)
600 جنيه مصري / 600 EGP"
معلومات عن العيادة / التخصص ( الدكاتره و الاسعار) -  Information about Clinic / Specialty (doctors and prices),"What are the consultation fees for the Dermatology, Aesthetics & Laser Clinic? ماهي اسعار عيادة الجلدية والتجميل والليزر؟","د. ريم مصطفى (Dr. Reem Mostafa)
750 جنيه مصري / 750 EGP
د. حسام عابد (Dr. Hussam Abed)
700 جنيه مصري / 700 EGP
د. نوران الشناوي (Dr. Nouran El-Shennawy)
700 جنيه مصري / 700 EGP"
معلومات عن العيادة / التخصص ( الدكاتره و الاسعار) -  Information about Clinic / Specialty (doctors and prices),What are the consultation fees for the Neurology Clinic? ماهي اسعار عيادة المخ والاعصاب؟,"د. كريم فؤاد (Dr. Karim Fouad)
700 جنيه مصري / 700 EGP
د. نوران محمود (Dr. Nourhan Mahmoud)
650 جنيه مصري / 650 EGP
د. يوسف طارق (Dr. Yousef Tarek)
600 جنيه مصري / 600 EGP"
معلومات عن العيادة / التخصص ( الدكاتره و الاسعار) -  Information about Clinic / Specialty (doctors and prices),What are the fees for the psychiatry clinic? ماهي اسعار عيادة الطب النفسي؟,"د. ليلى فخري (Dr. Laila Fakhry)
850 جنيه مصري / 850 EGP
د. خالد عثمان (Dr. Khaled Osman)
800 جنيه مصري / 800 EGP
د. سارة جمال (Dr. Sara Gamal)
750 جنيه مصري / 750 EGP"
معلومات عن العيادة / التخصص ( الدكاتره و الاسعار) -  Information about Clinic / Specialty (doctors and prices),What are the consultation fees for the ENT Clinic? ماهي اسعار عيادة الأنف والأذن والحنجرة؟,"د. شريف عزت (Dr. Sherif Ezzat)
650 جنيه مصري / 650 EGP
د. دينا مجدي (Dr. Dina Magdy)
600 جنيه مصري / 600 EGP
د. عمر سليم (Dr. Omar Selim)
600 جنيه مصري / 600 EGP"
معلومات عن العيادة / التخصص ( الدكاتره و الاسعار) -  Information about Clinic / Specialty (doctors and prices), What are the prices for radiology tests? ماهي اسعار فحوصات قسم الأشعة؟,"أشعة سينية عادية (X-Ray)
من 200 إلى 400 جنيه
يختلف حسب الجزء المصور (صدر، عظام، أطراف).
أشعة مقطعية (CT Scan)
من 800 إلى 2500 جنيه
يختلف حسب الجزء المصور واستخدام الصبغة. 
 مثال: CT مخ: 1200-1800 ج.م 
 CT بطن وحوض بصبغة: 2000-2500 ج.م
رنين مغناطيسي (MRI)
من 1500 إلى 4000 جنيه
يختلف حسب الجزء المصور واستخدام الصبغة. 
 مثال: MRI مخ: 2000-3000 ج.م 
 MRI الركبة: 1800-2500 ج.م
موجات فوق صوتية (Ultrasound)
من 300 إلى 700 جنيه
يختلف حسب الجزء المصور (بطن، حوض، غدة درقية). 
 مثال: سونار بطن: 400-600 ج.م
دوبلر ملون (Color Doppler)
من 500 إلى 1000 جنيه
يستخدم لتقييم تدفق الدم في الأوعية. 
 مثال: دوبلر أوردة الساقين: 700-1000 ج.م"
معلومات عن العيادة / التخصص ( الدكاتره و الاسعار) -  Information about Clinic / Specialty (doctors and prices),أسعار فحوصات قسم التحاليل الطبية (المعمل)؟ ?  What are the Medical Laboratories Prices,"صورة دم كاملة (CBC)
من 80 إلى 150 جنيه
تحليل روتيني لتقييم مكونات الدم.
وظائف كلى (Kidney Function Tests)
من 150 إلى 300 جنيه
يشمل كرياتينين وبولينا (Creatinine & Urea).
وظائف كبد (Liver Function Tests)
من 200 إلى 400 جنيه
يشمل إنزيمات الكبد والصفراء (ALT, AST, Bilirubin).
سكر صائم وفاطر (Fasting & Post-Prandial Glucose)
من 100 إلى 200 جنيه
لتقييم مستويات السكر في الدم.
سكر تراكمي (HbA1c)
من 200 إلى 350 جنيه
لتقييم متوسط السكر خلال 3 أشهر.
هرمونات الغدة الدرقية (Thyroid Hormones)
من 250 إلى 500 جنيه
يشمل TSH, Free T3, Free T4.
فيتامين د (Vitamin D)
من 400 إلى 700 جنيه
لتقييم مستوى فيتامين د في الجسم.
تحليل بول كامل (Complete Urine Analysis)
من 70 إلى 120 جنيه
يكشف عن التهابات المسالك البولية أو مشاكل الكلى.
تحليل براز كامل (Complete Stool Analysis)
من 80 إلى 150 جنيه
يكشف عن مشاكل الجهاز الهضمي أو الطفيليات.
دلالات الأورام (Tumor Markers)
من 300 إلى 800 جنيه (للتحليل الواحد)
يختلف السعر حسب نوع الدلالة المطلوبة (مثال: CEA, CA 19-9, PSA)."
Surgical Procedures Information - معلومات عن العمليات الجراحية ,ماهي العمليات الجراحية المتاحة في المستشفى؟ ?What surgical procedures are available at the hospital,"عملية قلب مفتوح (باي باص - CABG) (Open-Heart Surgery - CABG)
استبدال مفصل الركبة/الفخذ (الكلي) (Total Knee/Hip Replacement)
استئصال ورم القولون (جراحة استكشافية) (Colectomy - Exploratory Surgery)
إستئصال المرارة بالمنظار (Laparoscopic Cholecystectomy)
عملية إصلاح الانزلاق الغضروفي (العمود الفقري) (Spinal Disc Herniation Repair)
استئصال الرحم (عن طريق البطن/المنظار) (Hysterectomy - Abdominal/Laparoscopic)
عملية تكميم المعدة/تحويل المسار (Sleeve Gastrectomy/Gastric Bypass)
عملية استئصال الزائدة الدودية (بالمنظار) (Laparoscopic Appendectomy)
عملية الفتق السري (Inguinal/Umbilical Hernia Repair)
استئصال اللوزتين واللحمية (Tonsillectomy & Adenoidectomy)
الولادة القيصرية (Cesarean Section - C-Section)
عملية الختان (ذكور) (Male Circumcision)
كي أو إستئصال زوائد جلدية/شامات (Cauterization/Excision of Skin Tags/Moles)
تنظيف الرحم (كحت) (Dilation and Curettage - D&C)
تصريف الخرّاج/الجروح (Abscess/Wound Drainage)"
Surgical Procedures Information (prices) - معلومات عن العمليات الجراحية ( الاسعار) ,ماهي تكلفة عملية قلب مفتوح (باي باص - CABG) (What is the cost Open-Heart Surgery - CABG),180.000 – 280.000 EGP
Surgical Procedures Information (prices) - معلومات عن العمليات الجراحية ( الاسعار) ,ماهي تكلفة عملية استبدال مفصل الركبة/الفخذ (الكلي) (What is the cost Total Knee/Hip Replacement)," 90,000 - 150,00 EGP"
Surgical Procedures Information (prices) - معلومات عن العمليات الجراحية ( الاسعار) ,ماهي تكلفة عملية استئصال ورم القولون (جراحة استكشافية) (What is the cost Colectomy - Exploratory Surgery),"80,000 - 140,000 EGP"
Surgical Procedures Information (prices) - معلومات عن العمليات الجراحية ( الاسعار) ,ماهي تكلفة عملية إستئصال المرارة بالمنظار (What is the cost Laparoscopic Cholecystectomy),"40,000 - 65,000 EGP"
Surgical Procedures Information (prices) - معلومات عن العمليات الجراحية ( الاسعار) ,ماهي تكلفة عملية إصلاح الانزلاق الغضروفي (العمود الفقري) (What is the cost Spinal Disc Herniation Repair),"60,000 - 100,000 EGP"
Surgical Procedures Information (prices) - معلومات عن العمليات الجراحية ( الاسعار) ,ماهي تكلفة عملية استئصال الرحم (عن طريق البطن/المنظار) (What is the cost Hysterectomy - Abdominal/Laparoscopic),"55,000 - 90,000 EGP"
Surgical Procedures Information (prices) - معلومات عن العمليات الجراحية ( الاسعار) ,ماهي تكلفة عملية استئصال الزائدة الدودية (بالمنظار) (What is the cost Laparoscopic Appendectomy),"35,000 - 55,000 EGP"
Surgical Procedures Information (prices) - معلومات عن العمليات الجراحية ( الاسعار) ,ماهي تكلفة عملية تكميم المعدة/تحويل المسار (What is the cost Sleeve Gastrectomy/Gastric Bypass),"100,000 - 180,000 EGP"
Surgical Procedures Information (prices) - معلومات عن العمليات الجراحية ( الاسعار) ,ماهي تكلفة عملية الفتق السري What is the cost  Inguinal/Umbilical Hernia Repair,"25,000 - 45,000 EGP "
Surgical Procedures Information (prices) - معلومات عن العمليات الجراحية ( الاسعار) ,ماهي تكلفة استئصال اللوزتين واللحمية What is the cost Tonsillectomy & Adenoidectomy," 20,000 - 35,000 EGP "
Surgical Procedures Information (prices) - معلومات عن العمليات الجراحية ( الاسعار) ,ماهي تكلفة الولادة القيصرية What is the cost Cesarean Section - C-Section,"30,000 - 50,000 EGP"
Surgical Procedures Information (prices) - معلومات عن العمليات الجراحية ( الاسعار) ,ماهي تكلفة عملية الختان (ذكور) (What is the cost Male Circumcision),"8,000 - 15,000 EGP "
Surgical Procedures Information (prices) - معلومات عن العمليات الجراحية ( الاسعار) ,ماهي تكلفة كي أو إستئصال زوائد جلدية/شامات (What is the cost Cauterization/Excision of Skin Tags/Moles),"5,000 - 10,000 EGP"
Surgical Procedures Information (prices) - معلومات عن العمليات الجراحية ( الاسعار) ,ماهي تكلفة تنظيف الرحم (كحت) (What is the cost Dilation and Curettage - D&C),"15,000 - 25,000 EGP "
Surgical Procedures Information (prices) - معلومات عن العمليات الجراحية ( الاسعار) ,ماهي تكلفة تصريف الخرّاج/الجروح (What is the cost Abscess/Wound Drainage),"7,000 - 15,000 EGP "
التأمين الصحي Health Insurance,ماهي شركات التأمين التي تتعاملون معها؟ - ?Which insurance companies do you deal with,"1. مصر للتأمين
2. أكسا للتأمين
3. أليانز للتأمين
4. ميتلايف
5. بوبا إيجيبت
6. التعاون للبترول للتأمين
7. رويال للتأمين 
8. قناة السويس للتأمين
9. الدلتا للتأمين
10. المصرية للتأمين التكافلي - ممتلكات
11. جي أي جي للتأمين - مصر
12. كير بلس
13. ميد نت
14. جلوب ميد
15. أروب للتأمين
16. وادي النيل للتأمين"
التأمين الصحي Health Insurance,ما هي خطوات تطبيق التأمين الطبي على الكشف أو العملية؟,"### ✅ 1. Pre‑Approval / Notification

* Notify your insurer or TPA **before** scheduled procedures (e.g., surgery, MRI) or **within a set timeframe** after emergencies (e.g., 10 days per MetLife in Egypt) ([slideshare.net][1], [wiselyinsure.com][2]).

### 📄 2. Gather Required Documents

* **For outpatient (visits, tests, medications):** claim form, doctor's prescription/report, receipts/invoices ([bupaglobal.com][3]).
* **For inpatient or surgery:** detailed medical report, original hospital bills & receipts, lab/X‑ray/MRI results, discharge summary, police report if accident-related ([metlife.eg][4]).

### 📤 3. Submit the Claim

* Upload via online portal or app, or send by email/fax or deliver to a branch .

### ⏳ 4. Review & Follow‑up

* Insurers aim to process claims within **10–21 working days**, provided all documents are complete; otherwise, they may request more info or reject ([bupaglobal.com][3]).

### 💸 5. Reimbursement or Direct Payment

* For network hospitals: insurer often pays **directly** to the provider.
* For non-network or self-paid cases: you get **reimbursed** according to your policy terms ([allianz.com.eg][5]).

### 🗃️ 6. Keep All Original & Digital Documents

* Save original receipts and medical reports (often required to be submitted within 15–30 days) and keep digital copies for any future queries or disputes ."
